M1 drop the L3 mutation requirement: CAUGHT — 1 failed, 200 deselected in 1.78s
M2 accept a surviving mutant (ignore findings_open): CAUGHT — 1 failed, 10 passed, 200 deselected, 1 subtests passed in 18.98s
M3 let a failing GLM fail the verdict again: CAUGHT — 1 failed, 11 passed, 200 deselected, 2 subtests passed in 22.09s
M4 hide GLM from the output when it is advisory: CAUGHT — 1 failed, 11 passed, 200 deselected, 2 subtests passed in 22.21s
M5 drop mutation from report-shape validation: CAUGHT — 1 failed, 15 passed, 200 deselected, 5 subtests passed in 28.89s
M6 drop .mutation.log from the evidence-artifact shape: CAUGHT — 1 failed, 27 passed, 200 deselected, 9 subtests passed in 39.03s
M7 skip transcript verification for mutation (trust the label): CAUGHT — 1 failed, 10 passed, 200 deselected, 2 subtests passed in 20.27s
M8 init no longer repairs an existing gitignore: CAUGHT — 1 failed, 17 passed, 200 deselected, 6 subtests passed in 33.21s
M9 drop the *.mutation.log negation: CAUGHT — 1 failed, 17 passed, 200 deselected, 6 subtests passed in 33.11s
M10 accept an empty transcript again: CAUGHT — 1 failed, 15 passed, 200 deselected, 6 subtests passed in 30.39s
M11 hide an empty GLM record again: CAUGHT — 1 failed, 16 passed, 200 deselected, 6 subtests passed in 32.37s

mutants=11 survived_or_unapplied=0
